"","plot_name","n"
"1","abongmbang001",501
"2","abongmbang002",538
"3","abongmbang003",568
"4","abongmbang004",669
"5","abongmbang005",422
"6","alpicam001",465
"7","alpicam002",439
"8","alpicam003",425
"9","alpicam004",421
"10","alpicam005",409
"11","alpicam006",452
"12","alpicam007",412
"13","alpicam008",470
"14","alpicam009",471
"15","alpicam010",465
"16","alpicam011",511
"17","alpicam012",549
"18","alpicam013",511
"19","alpicam014",341
"20","alpicam015",503
"21","alpicam016",597
"22","alpicam017",434
"23","alpicam018",451
"24","alpicam019",390
"25","alpicam020",439
"26","alpicam021",456
"27","atogboga001",427
"28","atogboga002",479
"29","atogboga003",464
"30","atout001",572
"31","atout002",474
"32","azingo001",410
"33","azingo002",472
"34","azingo003",431
"35","azingo004",414
"36","bouamir001",401
"37","bouamir002",371
"38","bouamir003",565
"39","bouamir004",492
"40","bouamir005",397
"41","bouamir006",480
"42","bouamir007",444
"43","bouamir008",496
"44","bouamir009",450
"45","bouamir010",445
"46","bouamir011",381
"47","dengdeng003",435
"48","dengdeng004",603
"49","dengdeng005",502
"50","dengdeng006",536
"51","dengdeng007",463
"52","dengdeng008",596
"53","dengdeng009",578
"54","dengdeng010",473
"55","dengdeng011",510
"56","dengdeng012",452
"57","dengdeng013",545
"58","dengdeng014",527
"59","dengdeng015",447
"60","djomedjo001",495
"61","djomedjo002",495
"62","djomedjo003",472
"63","djomedjo004",412
"64","djomedjo005",448
"65","djomedjo006",516
"66","djomedjo007",566
"67","djomedjo008",510
"68","djomedjo009",466
"69","djomedjo010",515
"70","evaro001",239
"71","evaro002",228
"72","evaro003",532
"73","evaro004",250
"74","evaro005",459
"75","kikot001",333
"76","kikot002",269
"77","kikot003",413
"78","kikot004",393
"79","kikot005",551
"80","kikot006",285
"81","kompia001",420
"82","kompia002",515
"83","kongo001",437
"84","kongo002",405
"85","kongo003",457
"86","kongo004",463
"87","kongo005",418
"88","kongo006",454
"89","kongo007",604
"90","kongo008",545
"91","korup001",518
"92","korup002",388
"93","kounoungou001",466
"94","kounoungou002",458
"95","kounoungou003",403
"96","kumu001",335
"97","kumu002",400
"98","kumu003",229
"99","lomie007",405
"100","lomie008",376
"101","mabou001",439
"102","mabou002",221
"103","mabou003",401
"104","mabou004",391
"105","mabou005",368
"106","mabou006",363
"107","mabou007",480
"108","mabou008",369
"109","mabou009",354
"110","mabou010",351
"111","mabou011",290
"112","mabou012",349
"113","mbalmayo001",452
"114","mbalmayo002",479
"115","mbalmayo003",620
"116","mbalmayo004",455
"117","mbalmayo005",477
"118","mbalmayo006",490
"119","mbalmayo007",442
"120","mbalmayo008",471
"121","mbalmayo009",541
"122","mbalmayo010",466
"123","mbalmayo011",504
"124","mbalmayo012",604
"125","mbalmayo013",401
"126","mbalmayo014",414
"127","mintom003",366
"128","mpem001",365
"129","mpem002",307
"130","mpem003",276
"131","mpem004",350
"132","mpem005",557
"133","mpem006",346
"134","mpem007",388
"135","mpem008",572
"136","mpem009",518
"137","mpem010",332
"138","nachtigal001",351
"139","nachtigal002",411
"140","nachtigal003",326
"141","nachtigal004",531
"142","nachtigal005",214
"143","nachtigal006",344
"144","nachtigal007",364
"145","nachtigal008",320
"146","nachtigal009",478
"147","nachtigal010",500
"148","nachtigal011",379
"149","nemeyong001",665
"150","nemeyong002",650
"151","nemeyong003",574
"152","nemeyong004",626
"153","nemeyong005",601
"154","nemeyong006",340
"155","nemeyong007",394
"156","nemeyong008",196
"157","ngoila001",454
"158","ngoila002",524
"159","ngoila003",372
"160","ngoila004",405
"161","ngoila005",398
"162","ngoila006",374
"163","ngovayang001",707
"164","ngovayang002",697
"165","pallisco1",428
"166","pallisco2",392
"167","pallisco3",468
"168","pallisco4",429
"169","somalomo007",411
"170","somalomo008",538
"171","somalomo009",469
"172","somalomo010",417
"173","somalomo011",493
"174","somalomo012",334
"175","somalomo013",339
"176","somalomo014",390
