iter	precipitation	interception	throughfall	runoff	leak	evaporation	transpitation_0	transpitation_1	transpitation_2	transpitation_3	transpitation_4	transpiration1016	SWC_0	SWC_1	SWC_2	SWC_3	SWC_4	SWP_0	SWP_1	SWP_2	SWP_3	SWP_4
24	0.2	3.2e-07	0	0	0	0.000279274	0.000392419	0.000885123	0.000886864	0.000635391	0.000172812	0.00235542	0.312825	0.323755	0.328416	0.33177	0.333081	-0.0130752	-0.0113158	-0.0106577	-0.0102137	-0.0100464	
25	7.6	1.85365e-06	0.00644147	0	0	0.000209159	0.000607239	0.000912112	0.000636841	0.000462244	0.000130804	0.00224097	0.33345	0.333449	0.327855	0.330976	0.332903	-0.01	-0.00999999	-0.0107353	-0.0103167	-0.0100689	
26	1.8	1.85716e-06	0.000639272	0	0	0.000180064	0.000478273	0.000657015	0.000501069	0.000378749	0.000109142	0.00156686	0.331969	0.329484	0.326263	0.330398	0.332768	-0.0101882	-0.0105137	-0.0109566	-0.0103925	-0.010086	
27	2.4	1.85527e-06	0.00124046	0	0	0.000216333	0.000716467	0.000891304	0.000674752	0.000523588	0.000152406	0.00239423	0.33345	0.328357	0.32501	0.329924	0.332656	-0.01	-0.0106661	-0.0111348	-0.0104551	-0.0101003	
28	0	0	0	0	0	0.000272742	0.000483883	0.000748123	0.000610842	0.000490603	0.000144803	0.00180214	0.323558	0.324482	0.323323	0.32927	0.332498	-0.0113448	-0.0112105	-0.0113806	-0.0105424	-0.0101203	
29	0.2	3.2e-07	0	0	0	0.000339381	0.00053809	0.00100214	0.000864464	0.000711794	0.000211831	0.00242729	0.315325	0.321229	0.321796	0.328657	0.332349	-0.0126437	-0.0116949	-0.0116092	-0.0106251	-0.0101394	
30	8.6	1.8637e-06	0.00743518	0	0	0.000191873	0.000405176	0.000612034	0.000348786	0.000278889	8.69361e-05	0.00135371	0.33345	0.333449	0.322335	0.327767	0.332131	-0.01	-0.00999999	-0.0115324	-0.0107465	-0.0101673	
31	1.4	1.86132e-06	0.000236677	0	0	0.000348794	0.000578908	0.000955641	0.000577278	0.00046841	0.000146679	0.00200245	0.328277	0.330789	0.321463	0.327418	0.332041	-0.0106766	-0.0103411	-0.0116643	-0.0107946	-0.0101788	
32	0	0	0	0	0	0.000291247	0.000456284	0.000892055	0.000590189	0.000491901	0.000155632	0.001959	0.319575	0.326634	0.320019	0.326833	0.33189	-0.0119505	-0.0109036	-0.0118869	-0.0108759	-0.0101983	
33	0.8	1.28e-06	0	0	0	0.000265948	0.000314941	0.000703863	0.00050697	0.000435498	0.000139681	0.00165181	0.312353	0.322755	0.318544	0.326218	0.331729	-0.0131596	-0.011464	-0.0121202	-0.0109622	-0.010219	
34	10.2	1.86265e-06	0.00903584	0	0	0.000290783	0.000583786	0.000880965	0.000557855	0.000369701	0.000122105	0.00192846	0.33345	0.333449	0.325169	0.325674	0.331586	-0.01	-0.00999999	-0.0111216	-0.0110393	-0.0102376	
35	0.4	6.4e-07	0	0	0	0.000371246	0.000570912	0.0010601	0.000726634	0.000495351	0.000164621	0.00226415	0.323899	0.329619	0.323774	0.325212	0.33146	-0.0112946	-0.0104957	-0.0113237	-0.0111052	-0.0102539	
36	0.2	3.2e-07	0	0	0	0.000321999	0.000443973	0.000974873	0.000735452	0.000521705	0.000175399	0.00207761	0.31497	0.32501	0.321957	0.324592	0.33129	-0.0127041	-0.0111339	-0.0115942	-0.0111944	-0.0102759	
37	8.6	1.86688e-06	0.0074332	0	0	0.000385552	0.000676515	0.00102161	0.000636146	0.000401687	0.000139296	0.00217258	0.33345	0.333449	0.324715	0.323942	0.331109	-0.01	-0.00999999	-0.0111931	-0.0112892	-0.0102994	
